Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Geodude,67.6,74,rock,ground,69.3,76.1,68,358570,15,499,Rock Throw,Rock Slide,Dig,9,10,1,10000
Charmander,67.5,4,fire,none,71.4,63.7,77,350138,19.5,500,Ember,Flame Charge,Flamethrower,6,7,3,10000
Cyndaquil,67.5,155,fire,none,71.4,63.7,77,350138,19.5,500,Ember,Flame Charge,Flamethrower,6,7,3,10000
Joltik,67.5,595,bug,electric,66.4,65.8,86,375616,19,499,Sucker Punch,Cross Poison,Discharge,5,6,3,50000
Murkrow (Shadow),67.5,198,dark,flying,82.8,47.2,77,301112,12,500,Feint Attack,Drill Peck,Foul Play,7,7,3,50000
Rockruff,67.5,744,rock,none,72.3,55.6,85,341364,20,497,Rock Throw,Stone Edge,Crunch,11,9,5,50000
Sandile,67.5,551,ground,dark,78.1,47.7,86,320479,18.5,500,Mud Slap,Crunch,Dig,5,5,5,75000
Litten,67.4,725,fire,none,75.8,53.4,81,328266,18.5,500,Ember,Flame Charge,Crunch,6,5,3,10000
Goldeen,67.3,118,water,none,68.9,67.8,77,359933,16.5,498,Mud Shot,Aqua Tail,Horn Attack,4,4,3,50000
Nymble,67.3,919,bug,none,65.7,61.1,94,377348,37,498,Bug Bite,X-Scissor,Trailblaze,14,15,1,50000
Roggenrola,67.3,524,rock,none,65.7,66.8,86,377548,16,498,Smack Down,Stone Edge,Rock Blast,7,5,3,50000
Sentret,67.3,161,normal,none,63,66.8,94,395138,34.5,500,Quick Attack,Grass Knot,Dig,7,7,1,10000
Mudkip,67.2,258,water,none,71.5,60.4,81,349687,17.5,500,Water Gun,Dig,Stomp,17,14,3,10000
Pumpkaboo (Super),67.2,710,ghost,grass,64.2,70.5,86,388902,15.5,500,Astonish,Grass Knot,Foul Play,5,4,5,75000
Totodile (Shadow),67.1,158,water,none,66.6,68.3,82,373248,17,500,Water Gun,Crunch,Aqua Jet,15,14,3,10000
Archen,67,566,rock,flying,92.1,43.9,67,271155,10,500,Wing Attack,Ancient Power,Dragon Claw,6,7,5,75000
Blitzle (Shadow),67,522,electric,none,75.6,48.9,88,325400,21.5,497,Spark,Discharge,Flame Charge,6,8,3,50000
Tentacool (Shadow),67,72,water,poison,58.8,94.9,76,424214,19,500,Bubble,Wrap,Bubble Beam,5,5,3,50000
Tyrogue,67,236,fighting,none,59.7,66.4,105,415856,50,498,Tackle,Rock Slide,Brick Break,15,14,5,10000
Poochyena (Shadow),66.9,261,dark,none,71.9,54.7,88,346127,29,500,Snarl,Crunch,Dig,4,4,1,10000
Torchic,66.9,255,fire,none,75.4,57,77,331120,17.5,500,Ember,Flame Charge,Rock Tomb,6,6,3,10000
Drilbur,66.8,529,ground,none,78.5,48.6,83,316768,13.5,500,Mud Slap,Drill Run,Rock Tomb,4,5,3,50000
Larvesta,66.8,636,bug,fire,76,57.6,75,328662,12.5,500,Ember,Flame Charge,Bug Buzz,6,7,5,75000
Snivy,66.7,495,grass,none,58.3,79,92,423622,23.5,498,Vine Whip,Energy Ball,Seed Bomb,6,5,3,10000
Cubchoo,66.6,613,ice,none,74.8,50.4,88,332075,18,499,Powder Snow,Icy Wind,Ice Punch,6,5,3,50000
Fennekin,66.6,653,fire,none,69.9,66.4,77,357140,19,500,Ember,Flame Charge,Psyshock,6,5,3,10000
Grubbin,66.6,736,bug,none,69.9,58.5,87,356010,20,499,Spark,X-Scissor,Crunch,6,7,1,10000
Vanillite,66.6,582,ice,none,71,69.9,71,352421,19,500,Powder Snow,Icy Wind,Signal Beam,6,7,3,50000
Houndour,66.5,228,dark,fire,82,49.4,75,304222,15.5,500,Ember,Crunch,Flamethrower,5,7,3,50000
Meowth (Galarian),66.5,52,steel,none,68.9,60.3,87,361888,18.5,500,Metal Claw,Night Slash,Dig,5,8,3,50000
Scyther,66.5,123,bug,flying,77.5,64.6,64,320542,7,500,Fury Cutter,X-Scissor,Aerial Ace,10,12,5,75000
Hoppip (Shadow),66.4,187,grass,flying,55.3,83.3,98,451719,38,500,Bullet Seed,Grass Knot,Seed Bomb,4,4,3,50000
Totodile,66.4,158,water,none,66.6,68.3,82,373248,17,500,Water Gun,Crunch,Aqua Jet,15,14,3,10000
Doduo,66.1,84,normal,flying,86.3,51.5,65,288975,15.5,500,Quick Attack,Brave Bird,Drill Peck,7,5,3,50000
Nidoran Male,66.1,32,poison,none,69.1,57,91,358433,22.5,499,Poison Sting,Body Slam,Sludge Bomb,5,6,3,50000
Ponyta,66.1,77,fire,none,77.5,62.9,66,322024,11,499,Ember,Flame Charge,Stomp,6,5,3,50000
Girafarig (Shadow),65.9,203,normal,psychic,75.1,59.1,74,328724,9,499,Double Kick,Psychic Fangs,Trailblaze,3,4,3,50000
Nidoran Male (Shadow),65.9,32,poison,none,69.1,57,91,358433,22.5,499,Poison Sting,Body Slam,Sludge Bomb,5,6,3,50000
Shuppet (Shadow),65.9,353,ghost,none,81.6,46,81,303772,18.5,497,Astonish,Shadow Sneak,Ominous Wind,5,5,3,50000
Pineco,65.8,204,bug,none,62.3,74.8,86,401102,18,500,Bug Bite,Rock Tomb,Sand Tomb,17,15,5,75000
Phanpy,65.7,231,ground,none,59.8,59.8,117,419064,16,500,Tackle,Body Slam,Rock Slide,14,15,3,50000
Inkay,65.6,686,dark,psychic,62.4,67.3,95,399432,21,500,Tackle,Night Slash,Psybeam,12,20,3,50000
Makuhita,65.6,296,fighting,none,67.3,44.7,123,370148,23.5,499,Tackle,Cross Chop,Heavy Slam,12,17,3,50000
Murkrow,65.5,198,dark,flying,82.8,47.2,77,301112,12,500,Feint Attack,Drill Peck,Foul Play,7,7,3,50000
Starly (Shadow),65.5,396,normal,flying,73.6,49.7,93,340252,27.5,500,Quick Attack,Brave Bird,Fly,7,6,1,10000
Voltorb,65.5,100,electric,none,65.8,73.4,78,376535,19,499,Spark,Discharge,Signal Beam*,6,8,3,50000
Pumpkaboo (Large),65.4,710,ghost,grass,65.2,71.5,82,382517,15.5,499,Astonish,Grass Knot,Foul Play,5,4,5,75000
Meowth,65.3,52,normal,none,65.4,63.3,91,376964,26,499,Scratch,Body Slam*,Night Slash,10,9,3,50000
Clauncher,65.2,692,water,none,63.5,72,86,392925,18,499,Water Gun,Crabhammer,Aqua Jet,17,14,3,50000
Hippopotas,65.2,449,ground,none,64,66.5,91,387077,14,500,Tackle,Body Slam,Dig,14,17,3,50000
Paras,65.2,46,bug,grass,72.8,65.2,72,341761,19,499,Bug Bite,X-Scissor,Cross Poison,14,12,3,50000
Tympole,65.2,535,water,none,66.1,59.6,96,377787,23.5,500,Bubble,Mud Bomb,Sludge Wave,5,6,3,50000
Natu,65.1,177,psychic,flying,77.1,57.6,73,324041,17.5,500,Quick Attack,Drill Peck,Psyshock,5,5,3,50000
Makuhita (Shadow),65,296,fighting,none,67.3,44.7,123,370148,23.5,499,Tackle,Cross Chop,Heavy Slam,12,17,3,50000
Rattata (Alolan) (Shadow),64.8,19,dark,normal,74.3,59,77,337437,27,500,Quick Attack,Crunch,Hyper Fang,6,7,1,10000
Slowpoke,64.8,79,water,psychic,60.4,58.2,118,414998,16,500,Water Gun,Psyshock,Water Pulse,14,17,3,50000
Hippopotas (Shadow),64.7,449,ground,none,64,66.5,91,387077,14,500,Tackle,Body Slam,Dig,14,17,3,50000
Ferroseed (Shadow),64.6,597,grass,steel,52.6,104.1,86,471164,21,498,Tackle,Iron Head,Flash Cannon,17,22,3,75000
Pawmi,64.6,921,electric,none,73.8,44.3,104,339646,31,500,Spark,Wild Charge,Discharge,7,6,3,75000
Tentacool,64.6,72,water,poison,57.6,95.5,78,429374,19,497,Bubble,Wrap,Bubble Beam,5,5,3,50000
Shinx (Shadow),64.5,403,electric,none,75.8,49.5,87,326488,22,497,Spark,Discharge,Thunderbolt,6,8,5,75000
Froakie,64.4,656,water,none,74.3,56.6,80,336721,19.5,500,Bubble,Surf,Aerial Ace,5,5,3,10000
Pumpkaboo (Average),64.4,710,ghost,grass,66.8,71.1,79,375014,16,500,Astonish,Grass Knot,Foul Play,5,4,5,75000
Bulbasaur,64.3,1,grass,poison,67.6,69.9,78,368426,17.5,499,Vine Whip,Seed Bomb,Sludge Bomb,5,7,3,10000
Magby,64.3,240,fire,none,78.8,57.5,70,317274,14.5,500,Karate Chop,Fire Punch,Brick Break,5,5,5,10000
Pansage,64.3,511,grass,none,65.1,65.1,90,381615,20,499,Vine Whip,Crunch,Energy Ball,6,6,3,50000
Ekans (Shadow),64.2,23,poison,none,69.6,67.7,76,358086,20.5,499,Poison Sting,Poison Fang,Sludge Bomb,5,6,3,50000
Farfetch'd (Galarian),64.2,83,fighting,none,79.8,56.7,69,312140,11,499,Fury Cutter,Leaf Blade,Brave Bird,9,14,3,50000
Mankey,64.1,56,fighting,none,82.3,51.3,72,303937,16,500,Karate Chop,Cross Chop,Brick Break,4,5,3,50000
Omanyte (Shadow),64.1,138,rock,water,74,77.8,58,333919,12,498,Mud Shot,Rock Blast,Ancient Power,5,5,5,75000
Phanpy (Shadow),64.1,231,ground,none,59.8,59.8,117,419064,16,500,Tackle,Body Slam,Rock Slide,14,15,3,50000
Pineco (Shadow),64,204,bug,none,62.6,75.4,84,396635,17.5,499,Bug Bite,Rock Tomb,Sand Tomb,17,15,5,75000
Blitzle,63.8,522,electric,none,75.6,48.9,88,325400,21.5,497,Spark,Discharge,Flame Charge,6,8,3,50000
Larvitar (Shadow),63.8,246,rock,ground,68.9,62.1,85,363671,18.5,500,Bite,Ancient Power,Crunch,12,12,5,75000
Larvitar,63.7,246,rock,ground,68.9,62.1,85,363671,18.5,500,Bite,Ancient Power,Crunch,12,12,5,75000
Sunkern,63.7,191,grass,none,58.8,58.8,98,339071,50,447,Razor Leaf,Grass Knot,Seed Bomb,13,10,3,50000
Natu (Shadow),63.6,177,psychic,flying,77.1,57.6,73,324041,17.5,500,Quick Attack,Drill Peck,Psyshock,5,5,3,50000
Pumpkaboo (Small),63.6,710,ghost,grass,67.3,73.2,75,369667,16,500,Astonish,Grass Knot,Foul Play,5,4,5,75000
Teddiursa,63.6,216,normal,none,74,54,84,335474,14,499,Lick,Cross Chop,Crunch,12,15,3,50000
Darumaka (Galarian),63.5,554,ice,none,75.6,48.2,90,327845,13,498,Ice Fang,Ice Punch,Ice Beam,7,10,3,50000
Skitty,63.5,300,normal,none,61.2,64.6,103,407506,26.5,499,Tackle,Wild Charge,Dig,15,17,3,50000
Electrike (Shadow),63.4,309,electric,none,75.9,55.6,78,328785,20,500,Spark,Discharge,Thunderbolt,6,8,3,50000
Gimmighoul,63.4,999,ghost,none,80.5,50.9,76,311012,17.5,500,Astonish,Shadow Ball,,5,0,5,10000
Voltorb (Shadow),63.3,100,electric,none,65.8,73.4,78,376535,19,499,Spark,Discharge,Signal Beam*,6,8,3,50000
Whismur,62.8,293,normal,none,69.9,40.7,126,357978,28.5,500,Astonish,Stomp,Disarming Voice,4,5,1,10000
Rowlet,62.5,722,grass,flying,60.9,63.8,105,407852,18.5,500,Leafage,Energy Ball,Seed Bomb,6,5,3,10000
Sneasel (Hisuian) (Shadow),62.5,215,fighting,poison,77.9,63.9,64,318797,9,499,Poison Jab,Close Combat,Aerial Ace,7,7,3,50000
Gastly,62.4,92,ghost,poison,98.8,42.4,60,251560,15,498,Astonish,Sludge Bomb,Dark Pulse,5,5,3,50000
Whismur (Shadow),62.4,293,normal,none,69.9,40.7,126,357978,28.5,500,Astonish,Stomp,Disarming Voice,4,5,1,10000
Baltoy,62.3,343,ground,psychic,54.6,93.8,89,455994,25.5,499,Confusion,Dig,Psybeam,4,5,3,50000
Mareanie,62.2,747,poison,water,61.5,73.5,90,406926,20,500,Poison Sting,Brine,Sludge Wave,7,8,3,50000
Noibat,62,714,flying,dragon,63.1,63.9,97,390966,29.5,499,Wing Attack,Dragon Pulse,Air Cutter,7,5,5,75000
Girafarig,61.9,203,normal,psychic,75.1,59.1,74,328724,9,499,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Shellder,61.8,90,water,none,68,81.6,66,366334,18,500,Ice Shard,Icy Wind,Razor Shell,5,4,3,50000
Electrike,61.7,309,electric,none,74.7,55.6,80,331905,20,498,Spark,Discharge,Thunderbolt,6,8,3,50000
Minccino,61.7,572,normal,none,64.6,59.6,100,384969,22.5,500,Charm,Aqua Tail,Thunderbolt,5,7,3,50000
Diglett (Shadow),61.6,50,ground,none,80.6,65.6,58,306676,28.5,499,Mud Slap,Mud Bomb,Rock Tomb,5,5,3,50000
Frillish,61.5,592,water,ghost,62.6,76.8,83,398891,15.5,499,Bubble,Ice Beam,Ominous Wind,5,5,3,50000
Snubbull (Shadow),61.5,209,fairy,none,74.2,51.5,88,336360,15.5,500,Tackle,Crunch,Brick Break,15,14,3,50000
Pancham,61.4,674,fighting,none,71.3,57.6,85,349348,12.5,499,Tackle,Body Slam,Crunch,14,15,3,50000
Drowzee,61.3,96,psychic,none,54.2,86.8,98,460423,19,500,Confusion,Psyshock,Psychic,3,4,3,50000
Omanyte,61.3,138,rock,water,74,77.8,58,333919,12,498,Mud Shot,Rock Blast,Ancient Power,5,5,5,75000
Misdreavus,61.1,200,ghost,none,72.2,68.4,70,346149,10,500,Astonish,Dark Pulse,Shadow Sneak,5,5,3,50000
Smoochum,61.1,238,ice,psychic,79.9,53.9,72,310073,14.5,498,Powder Snow,Ice Punch,Psyshock,5,5,5,10000
Sneasel (Hisuian),61.1,215,fighting,poison,77.9,63.9,64,318797,9,499,Poison Jab,Close Combat,Aerial Ace,7,7,3,50000
Ekans,60.8,23,poison,none,69.6,67.7,76,358086,20.5,499,Poison Sting,Poison Fang,Sludge Bomb,5,6,3,50000
Meditite,60.8,307,fighting,psychic,59,85.6,84,424209,29,500,Confusion,Psyshock,Ice Punch,3,3,3,50000
Snover,60.8,459,grass,ice,64.6,64.6,92,383618,16.5,498,Powder Snow,Ice Beam,Energy Ball,7,6,3,50000
Corphish,60.7,341,water,none,76.3,59.4,72,326329,15.5,500,Bubble,Scald,Razor Shell,5,4,3,50000
Corphish (Shadow),60.7,341,water,none,76.3,59.4,72,326329,15.5,500,Bubble,Scald,Razor Shell,5,4,3,50000
Shellder (Shadow),60.6,90,water,none,68,81.6,66,366334,18,500,Ice Shard,Icy Wind,Razor Shell,5,4,3,50000
Bagon (Shadow),60.5,371,dragon,none,74.9,57.5,77,331660,16.5,500,Ember,Crunch,Flamethrower,5,7,5,75000
Snubbull,60.5,209,fairy,none,74.2,51.5,88,336360,15.5,500,Tackle,Crunch,Brick Break,15,14,3,50000
Drowzee (Shadow),60.3,96,psychic,none,54.2,86.8,98,460423,19,500,Confusion,Psyshock,Psychic,3,4,3,50000
Woobat,60.3,527,psychic,flying,64.6,58.2,102,383871,19,499,Confusion,Aerial Ace,Psyshock,4,3,1,10000
Aipom (Shadow),60.2,190,normal,none,70.5,63.5,79,353463,14,500,Astonish,Aerial Ace,Low Sweep,5,4,3,50000
Ralts (Shadow),60.2,280,psychic,fairy,67.5,60.1,91,369252,44.5,499,Confusion,Disarming Voice,Psyshock,4,3,5,75000
Venipede,60.2,543,bug,poison,61.3,81.3,82,408886,28.5,500,Poison Sting,Sludge Bomb,Signal Beam,6,7,1,10000
Slowpoke (Galarian),60.1,79,psychic,none,60.4,58.2,118,414998,16,500,Confusion,Surf,Psyshock,4,3,3,50000
Snover (Shadow),60,459,grass,ice,64.6,64.6,92,383618,16.5,498,Powder Snow,Ice Beam,Energy Ball,7,6,3,50000
Meltan,59.9,808,steel,none,69.1,63.5,82,359900,18,499,Thunder Shock,Thunderbolt,Flash Cannon,7,8,20,100000
Slowpoke (Shadow),59.9,79,water,psychic,60.4,58.2,118,414998,16,500,Confusion,Psyshock,Water Pulse,3,4,3,50000
Bagon,59.6,371,dragon,none,74.9,57.5,77,331660,16.5,500,Ember,Crunch,Flamethrower,5,7,5,75000
Bulbasaur (Shadow),59.5,1,grass,poison,67.7,69.4,78,366730,17,499,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Goomy,59.5,704,dragon,none,63.3,75.3,83,395626,20,500,Water Gun,Muddy Water,Dragon Pulse,12,19,5,75000
Shinx,59.5,403,electric,none,75.2,49.5,89,331233,22,500,Spark,Discharge,Return<sup>†</sup>,6,10,5,75000
Yamask (Galarian),59.5,562,ground,ghost,59.1,91.4,78,421650,20,500,Astonish,Rock Tomb,Night Shade,5,5,3,50000
Stantler (Shadow),59.3,234,normal,none,77.1,56.6,74,322989,8.5,499,Tackle,Wild Charge,Stomp,15,14,3,50000
Zorua,59.2,570,dark,none,83.9,49.7,71,296005,16,500,Feint Attack,Foul Play,Aerial Ace,7,8,5,75000
Combee,59.1,415,bug,flying,56,81.9,97,444383,49,500,Bug Bite,Bug Buzz,,20,0,3,50000
Buizel,58.8,418,water,none,77.1,46.5,90,322393,18,498,Water Gun,Aqua Jet,Swift,14,12,3,50000
Sneasel (Shadow),58.8,215,dark,ice,77.9,63.9,64,318797,9,499,Ice Shard,Avalanche,Foul Play,5,4,3,50000
Bergmite,58.7,712,ice,none,64.7,71.1,84,385989,16,500,Tackle,Icy Wind,Crunch,15,15,3,50000
Deerling,58.6,585,normal,grass,65.5,62.2,93,379389,17,498,Tackle,Wild Charge,Trailblaze,15,15,3,50000
Exeggcute (Shadow),58.6,102,grass,psychic,60.2,75.4,91,413424,16.5,500,Confusion,Ancient Power,Seed Bomb,4,3,3,50000
Kabuto,58.3,140,rock,water,76,77,56,327526,14,500,Mud Shot,Ancient Power,Aqua Jet,5,5,5,75000
Trapinch,58.3,328,ground,none,85.9,47.6,71,290267,15,500,Mud Shot,Scorching Sands,Crunch,6,5,5,75000
Aipom,58.2,190,normal,none,70.5,63.5,79,353463,14,500,Astonish,Aerial Ace,Low Sweep,5,4,3,50000
Diglett,58.2,50,ground,none,80.6,65.6,58,306676,28.5,499,Mud Slap,Mud Bomb,Rock Tomb,5,5,3,50000
Stufful,58.2,759,normal,fighting,70,55,92,353999,14,500,Tackle,Superpower,Stomp,14,14,1,10000
Bunnelby,58.1,659,normal,none,58.3,70.5,104,427737,44,500,Mud Slap,Dig,Earthquake,5,7,1,10000
Surskit,58.1,283,bug,water,64.8,66.8,89,385149,25,500,Bubble,Signal Beam,Aqua Jet,5,4,1,10000
Treecko,58.1,252,grass,none,73.1,61.2,76,340108,18,500,Bullet Seed,Grass Knot,Aerial Ace,4,4,3,10000
Staryu,57.8,120,water,none,76.5,68.4,62,324338,16.5,499,Water Gun,Power Gem,Bubble Beam,17,17,3,50000
Trapinch (Shadow),57.7,328,ground,none,85.9,47.6,71,290267,15,500,Mud Shot,Scorching Sands,Crunch,6,5,5,75000
Smoliv,57.4,928,grass,normal,66.6,65.3,86,374436,23,500,Tackle,Trailblaze,Earth Power,15,17,3,50000
Morelull,57.2,755,grass,fairy,64.9,76.4,77,382037,18.5,499,Astonish,Seed Bomb,Dazzling Gleam,4,6,3,50000
Varoom,57.2,965,steel,poison,70,67.2,76,357235,17,499,Poison Jab,Gyro Ball,Gunk Shot,8,11,3,50000
Helioptile,57.1,694,electric,normal,72,56.2,85,344117,20.5,498,Quick Attack,Thunderbolt,Bulldoze,7,7,3,50000
Sneasel,56.7,215,dark,ice,77.9,63.9,64,318797,9,499,Ice Shard,Avalanche,Foul Play,5,4,3,50000
Treecko (Shadow),56.6,252,grass,none,73.1,61.2,76,340108,18,500,Bullet Seed,Grass Knot,Aerial Ace,4,4,3,10000
Ralts,56.5,280,psychic,fairy,67.5,60.1,91,369252,44.5,499,Confusion,Disarming Voice,Psyshock,4,3,5,75000
Exeggcute,56.4,102,grass,psychic,60.2,75.4,91,413424,16.5,500,Confusion,Ancient Power,Seed Bomb,4,3,3,50000
Weedle (Shadow),56.4,13,bug,poison,63.9,54.6,112,390673,50,500,Bug Bite,Struggle,Frustration<sup>†</sup>,34,24,1,10000
Weedle,56.3,13,bug,poison,63.9,54.6,112,390673,50,500,Bug Bite,Return<sup>†</sup>,Struggle,24,34,1,10000
Patrat (Shadow),56,504,normal,none,67.4,58.2,93,364970,24.5,498,Tackle,Hyper Fang,Grass Knot,17,17,1,10000
Burmy (Plant),55.3,412,bug,none,52.1,81.5,113,479856,50,500,Bug Bite,Struggle,,34,0,1,10000
Burmy (Sandy),55.3,412,bug,none,52.1,81.5,113,479856,50,500,Bug Bite,Struggle,,34,0,1,10000
Burmy (Trash),55.3,412,bug,none,52.1,81.5,113,479856,50,500,Bug Bite,Struggle,,34,0,1,10000
Caterpie,55.3,10,bug,none,58.8,58.8,120,415189,50,494,Bug Bite,Struggle,,34,0,1,10000
Tangela,55.3,114,grass,none,72.5,69.8,68,343854,8.5,500,Vine Whip,Grass Knot,Sludge Bomb,7,7,3,50000
Togepi,55,175,fairy,none,52.8,97.4,92,473388,32,500,Hidden Power (Ground),Ancient Power,Psyshock,6,5,3,10000
Yungoos,54.9,734,normal,none,78,44,92,315766,21.5,497,Tackle,Crunch,Hyper Fang,15,17,1,10000
Scatterbug,54.7,664,bug,none,59.3,65.2,109,421177,49,500,Bug Bite,Struggle,,34,0,1,10000
Gothita,54.5,574,psychic,none,61.7,76.8,85,402792,20.5,499,Confusion,Psyshock,Psychic,3,4,3,50000
Lillipup,54.2,506,normal,none,68.6,61.8,86,364556,21,500,Tackle,Dig,Thunderbolt,17,19,1,10000
Stantler,53.9,234,normal,none,77.1,56.6,74,322989,8.5,499,Tackle,Wild Charge,Stomp,15,14,3,50000
Tangela (Shadow),53.9,114,grass,none,72.5,69.8,68,343854,8.5,500,Vine Whip,Grass Knot,Sludge Bomb,7,7,3,50000
Koffing,53.8,109,poison,none,65.2,81.8,72,383745,16,500,Infestation,Dark Pulse,Sludge Bomb,4,5,3,50000
Shuppet,53.8,353,ghost,none,81.6,46,81,303772,18.5,497,Astonish,Shadow Sneak,Ominous Wind,5,5,3,50000
Horsea (Shadow),53.7,116,water,none,75.4,66.9,65,327670,18,499,Bubble,Dragon Pulse,Bubble Beam,5,5,3,50000
Sprigatito,53.6,906,grass,none,69.9,66.4,77,357140,19,500,Leafage,Grass Knot,Play Rough,7,8,3,10000
Remoraid,53.3,223,water,none,80.2,50.2,77,309957,21,498,Mud Shot,Rock Blast,Water Pulse,5,6,1,10000
Wurmple,53.3,265,bug,none,62.2,58.3,111,402396,39.5,500,Bug Bite,Struggle,,34,0,1,10000
Bellsprout,53.2,69,grass,poison,81.6,43.7,86,306397,18.5,500,Vine Whip,Power Whip,Sludge Bomb,7,7,3,50000
Espurr,53.2,677,psychic,none,65.2,66.7,88,382900,15,500,Confusion,Psyshock,Energy Ball,3,4,3,50000
Mime (Jr),53.1,439,psychic,fairy,72.7,85.9,55,343588,17,500,Confusion,Psyshock,Psychic,3,4,5,10000
Patrat,53,504,normal,none,67.4,58.2,93,364970,24.5,498,Tackle,Hyper Fang,Grass Knot,17,17,1,10000
Horsea,52.9,116,water,none,75.4,66.9,65,327670,18,499,Bubble,Dragon Pulse,Bubble Beam,5,5,3,50000
Pikipek,52.9,731,normal,flying,85.7,44.1,77,290856,21,499,Peck,Drill Peck,Aerial Ace,5,6,1,10000
Wimpod,52.8,767,bug,water,61,74.3,90,407981,49,499,Struggle Bug,Bug Buzz,,8,0,1,10000
Axew,52.7,610,dragon,none,79,56.4,71,316731,13.5,500,Scratch,Dragon Claw,Aqua Tail,13,9,5,75000
Cherubi,52.7,420,grass,none,67.7,64.7,84,368246,20.5,499,Bullet Seed,Seed Bomb,Dazzling Gleam,4,5,1,10000
Chingling,52.6,433,psychic,none,69.3,63.5,82,360620,19,500,Astonish,Psyshock,Shadow Ball,4,5,5,10000
Elgyem,52.6,605,psychic,none,75.1,56,79,331995,13.5,499,Confusion,Dark Pulse,Psychic,4,4,3,50000
Krabby,52.6,98,water,none,85.6,62.9,54,290997,12,499,Bubble,Razor Shell,Vise Grip,4,4,3,50000
Flabebe,52.5,669,fairy,none,64,75.9,80,389102,18,500,Vine Whip,Dazzling Gleam,Psychic,7,7,3,50000
Cacnea,51.7,331,grass,none,83.8,45.5,78,297670,15,499,Poison Sting,Grass Knot,Brick Break,6,5,3,50000
Bellsprout (Shadow),51.1,69,grass,poison,82.2,43.1,86,304495,18.5,500,Vine Whip,Power Whip,Sludge Bomb,7,7,3,50000
Wingull,50.8,278,water,flying,73.5,50.8,90,335673,25,497,Quick Attack,Ice Beam,Air Cutter,7,5,3,50000
Cacnea (Shadow),50.5,331,grass,none,83.8,45.5,78,297670,15,499,Poison Sting,Grass Knot,Brick Break,6,5,3,50000
Kricketot,50.4,401,bug,none,50.4,74.8,108,407224,50,453,Bug Bite,Struggle,,34,0,1,10000
Tynamo,50,602,electric,none,71.3,60.2,81,347883,24,500,Spark,Struggle,,15,0,1,10000
Gulpin,49.9,316,poison,none,53.8,72.4,119,463607,23,499,Rock Smash,Sludge,Ice Beam,6,8,1,10000
Cutiefly,49.3,742,bug,fairy,71.4,58.9,83,349177,22,500,Fairy Wind,Bug Buzz,Dazzling Gleam,7,7,1,10000
Koffing (Shadow),48.8,109,poison,none,65.7,82.8,70,381060,16,500,Infestation,Dark Pulse,Sludge Bomb,4,5,3,50000
Swirlix,48.1,684,fairy,none,61.3,72.7,91,405734,16.5,500,Tackle,Energy Ball,Draining Kiss,15,19,3,50000
Anorith (Shadow),47.5,347,rock,bug,84.7,52.8,66,294906,12,500,Struggle Bug,Ancient Power,Cross Poison,6,5,3,50000
Petilil,46.4,548,grass,none,71.2,60.9,81,351477,18.5,500,Hidden Power (Grass),Energy Ball,Seed Bomb,6,5,1,10000
Anorith,46.1,347,rock,bug,84.7,52.8,66,294906,12,500,Struggle Bug,Ancient Power,Cross Poison,6,5,3,50000
Crabrawler,45.8,739,fighting,none,77,57.5,73,323025,14,500,Bubble,Crabhammer,Payback,5,6,3,50000
Happiny,43.8,440,normal,none,33.6,77.3,201,522291,50,419,Zen Headbutt,Psychic,,10,0,5,10000
Timburr,43.7,532,fighting,none,70.2,50.9,99,353542,14.5,498,Low Kick,Brick Break,Rock Tomb,5,7,5,75000
Voltorb (Hisuian),43.7,100,grass,electric,65.8,73.4,78,376535,19,499,Tackle,Thunderbolt,Energy Ball,19,15,3,50000
Munna,41.2,517,psychic,none,63.3,58.4,106,392000,17,500,Charge Beam,Psyshock,Dazzling Gleam,4,5,3,50000
Skiddo,40,672,grass,none,66.8,59.4,94,373153,15.5,499,Rock Smash,Rock Slide,Seed Bomb,7,6,3,50000
Spoink (Shadow),39.9,325,psychic,none,65.6,69.7,83,379590,14.5,500,Zen Headbutt,Shadow Ball,Mirror Coat,9,8,1,10000
Solosis,39.1,577,psychic,none,86.4,47.6,70,287932,13.5,499,Hidden Power (Psychic),Psyshock,Thunder,5,8,3,50000
Cleffa,39,173,fairy,none,57.8,67.3,111,431921,30,500,Zen Headbutt,Body Slam*,Grass Knot,7,9,1,10000
Porygon (Shadow),38.7,137,normal,none,69.6,66,78,358260,11,500,Charge Beam,Discharge*,Hyper Beam,4,8,3,50000
Porygon,37.4,137,normal,none,69.6,66,78,358260,11,500,Charge Beam,Discharge*,Hyper Beam,4,8,3,50000
Spoink,37.3,325,psychic,none,65.6,69.7,83,379590,14.5,500,Zen Headbutt,Shadow Ball,Mirror Coat,9,8,1,10000
Mienfoo,36,619,fighting,none,81,54.5,70,308896,13.5,500,Low Kick,Brick Break,Focus Blast,5,10,3,50000
Feebas,35.3,349,water,none,37,84,84,260976,50,310,Tackle,Mirror Coat,,15,0,5,75000
Abra (Shadow),33.3,63,psychic,none,99.2,47.6,53,250211,13.5,498,Charge Beam,Psyshock,Shadow Ball,4,5,3,50000
